time,id,temp
1522415838743,T3,24.50
1522415839770,T1,24.62
1522415840835,T2,24.81
1522415846821,T3,24.56
1522415847911,T1,24.62
1522415848916,T2,24.81
1522415854933,T3,24.56
1522415855992,T1,24.69
1522415857046,T2,24.81
1522415863036,T3,24.62
1522415864104,T1,24.69
1522415865103,T2,24.81
1522415871135,T3,24.62
1522415872132,T1,24.69
1522415873212,T2,24.87
1522415879248,T3,24.69
1522415880314,T1,24.69
1522415881324,T2,24.87
1522415887299,T3,24.75
